,real_time,tcn,hybrid,bond_graph,y_cnnlstm,x
0,4.609401709,4.6,4.601460647,4.602053043,4.5572057,0.20024928
1,4.537606838,4.6,4.601223897,4.601720723,4.5574417,0.20038752
2,4.582051282,4.592496,4.59881952,4.601390886,4.5576124,0.20052576
3,4.575213675,4.5823674,4.595652007,4.601063523,4.5578127,0.200664
4,4.534188034,4.585527,4.596330119,4.600738622,4.557849,0.20080224
5,4.493162393,4.5880413,4.596825313,4.600416176,4.558239,0.20094048
6,4.544444444,4.5381603,4.582101551,4.600096175,4.558238,0.20107872
7,4.605982906,4.589426,4.596767068,4.599778609,4.558491,0.20121696
8,4.564957265,4.5888987,4.596386372,4.599463468,4.5585213,0.2013552
9,4.623076923,4.593978,4.597642254,4.599150745,4.558675,0.20149344
10,4.674358974,4.5913835,4.596663157,4.598840429,4.558807,0.20163168
11,4.626495726,4.5943184,4.597300571,4.598532512,4.558942,0.20176992
12,4.561538462,4.6096454,4.601569073,4.598226984,4.5590696,0.20190816
13,4.595726496,4.600761,4.59875525,4.597923837,4.5592012,0.2020464
14,4.578632479,4.592041,4.595985257,4.597623062,4.5593286,0.20218464
15,4.599145299,4.594018,4.596353281,4.597324649,4.5594587,0.20232288
16,4.65042735,4.594029,4.596146354,4.597028591,4.5595865,0.20246112
17,4.626495726,4.593586,4.595807626,4.596734878,4.559716,0.20259936
18,4.667521368,4.6058283,4.599210318,4.596443502,4.559845,0.2027376
19,4.520512821,4.597847,4.596654039,4.596154453,4.5599737,0.20287584
20,4.561538462,4.608611,4.599633663,4.595867725,4.5601025,0.20301408
21,4.633333333,4.59647,4.595845618,4.595583308,4.560231,0.20315232
22,4.62991453,4.5956283,4.595398077,4.595301193,4.56036,0.20329056
23,4.503418803,4.60326,4.597464689,4.595021373,4.560491,0.2034288
24,4.718803419,4.586495,4.592294623,4.594743839,4.5606284,0.20356704
25,4.506837607,4.588946,4.592826903,4.594468583,4.5607653,0.20370528
26,4.61965812,4.6066456,4.59790077,4.594195597,4.5609026,0.20384352
27,4.595726496,4.6003327,4.595834086,4.593924872,4.56104,0.20398176
28,4.561538462,4.6046033,4.596921769,4.593656402,4.5611773,0.20412
29,4.558119658,4.602845,4.596213765,4.593390176,4.5613146,0.20425824
30,4.657264957,4.602234,4.595849167,4.593126189,4.561452,0.20439648
31,4.623076923,4.597176,4.594154974,4.592864431,4.5615892,0.20453472
32,4.674358974,4.6114335,4.598246993,4.592604895,4.5617266,0.20467296
33,4.551282051,4.600153,4.594689145,4.592347573,4.5618644,0.2048112
34,4.62991453,4.6194997,4.600323724,4.592092458,4.5620017,0.20494944
35,4.537606838,4.6019454,4.594878056,4.591839541,4.562139,0.20508768
36,4.647008547,4.6140385,4.598346268,4.591588816,4.5622764,0.20522592
37,4.653846154,4.6013637,4.594360717,4.591340274,4.5624137,0.20536416
38,4.612820513,4.608752,4.596420825,4.591093909,4.562551,0.2055024
39,4.599145299,4.6143866,4.597958001,4.590849712,4.562689,0.20564064
40,4.486324786,4.606923,4.59554047,4.590607676,4.562826,0.20577888
41,4.465811966,4.5590787,4.580897509,4.590367794,4.5629635,0.20591712
42,4.523931624,4.5184317,4.568405376,4.590130059,4.5631013,0.20605536
43,4.681196581,4.6126184,4.596787336,4.589894463,4.5632386,0.2061936
44,4.602564103,4.6008167,4.593048536,4.589660999,4.5633764,0.20633184
45,4.643589744,4.622785,4.59956926,4.589429661,4.5635138,0.20647008
46,4.599145299,4.605348,4.59411439,4.58920044,4.563651,0.20660832
47,4.657264957,4.615052,4.596917974,4.588973329,4.5637884,0.20674656
